Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;geo_shape;geo_point_2d
MATERNELLES (année scolaire 2018/2019);BRILLAT SAVARIN (87) MAT;87 rue BRILLAT-SAVARIN;13ème Ardt;75113;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.342842021420945, 48.82440907866511]}";48.8244090787,2.34284202142
MATERNELLES (année scolaire 2018/2019);LONGCHAMP (130) MAT;130 RUE DE LONGCHAMP;16ème Ardt;75116;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.278254209950328, 48.867275650813475]}";48.8672756508,2.27825420995
MATERNELLES (année scolaire 2018/2019);LE VAU (10) POLY;10 rue LE VAU;20ème Ardt;75120;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.41131171297101, 48.86659752208843]}";48.8665975221,2.41131171297
MATERNELLES (année scolaire 2018/2019);THEODORE DECK (2) MAT;2 rue THEODORE DECK;15ème Ardt;75115;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.290723313707118, 48.83766552980828]}";48.8376655298,2.29072331371
MATERNELLES (année scolaire 2018/2019);PIERRE FONCIN (4) POLY B;4 rue PIERRE FONCIN;20ème Ardt;75120;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.409389859768635, 48.87134728520536]}";48.8713472852,2.40938985977
MATERNELLES (année scolaire 2019/2020);GRANDS MOULINS (47) POLY;47 RUE DES GRANDS MOULINS;13ème Ardt;75113;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.377695614437951, 48.82792649809753]}";48.8279264981,2.37769561444
MATERNELLES (année scolaire 2018/2019);ROCHECHOUART (22) MAT;22 RUE DE ROCHECHOUART;9ème Ardt;75109;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.344952519430832, 48.87776380324084]}";48.8777638032,2.34495251943
MATERNELLES (année scolaire 2019/2020);ST ANGE (14) MAT;14 PASSAGE SAINT-ANGE;17ème Ardt;75117;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.327431710137227, 48.896573090974314]}";48.896573091,2.32743171014
MATERNELLES (année scolaire 2018/2019);ALESIA (190) MAT;190 RUE D' ALESIA;14ème Ardt;75114;2018-2019;;"{""type"": ""Point"", ""coordinates"": [2.312654100870293, 48.832566265866475]}";48.8325662659,2.31265410087
MATERNELLES (année scolaire 2019/2020);POPINCOURT (9) MAT;9 RUE POPINCOURT;11ème Ardt;75111;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.377318738023071, 48.857379059874134]}";48.8573790599,2.37731873802
MATERNELLES (année scolaire 2021/2022);VAUVENARGUES (52) MAT;52 RUE VAUVENARGUES;18ème Ardt;75118;2021-2022;Maternelle;"{""type"": ""Point"", ""coordinates"": [2.331537079400387, 48.89541851832371]}";48.8954185183,2.3315370794
MATERNELLES (année scolaire 2019/2020);TANGER (41) MAT;41 RUE DE TANGER;19ème Ardt;75119;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.37023641333394, 48.8877681355254]}";48.8877681355,2.37023641333
MATERNELLES (année scolaire 2021/2022);LOUIS VIERNE (6) MAT;6 RUE LOUIS VIERNE;17ème Ardt;75117;2021-2022;Maternelle;"{""type"": ""Point"", ""coordinates"": [2.290018854657438, 48.88812440472938]}";48.8881244047,2.29001885466
MATERNELLES (année scolaire 2019/2020);FRERES VOISIN (3) POLY;3 BOULEVARD DES FRERES VOISIN;15ème Ardt;75115;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.2683412586594462, 48.827963596661704]}";48.8279635967,2.26834125866
MATERNELLES (année scolaire 2021/2022);REUNION (91) MAT;91 RUE DE LA REUNION;20ème Ardt;75120;2021-2022;Maternelle;"{""type"": ""Point"", ""coordinates"": [2.400255963815992, 48.85644268932521]}";48.8564426893,2.40025596382
MATERNELLES (année scolaire 2019/2020);CLOS (18) MAT;18 RUE DU CLOS;20ème Ardt;75120;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.407068203442938, 48.85722683319172]}";48.8572268332,2.40706820344
MATERNELLES (année scolaire 2021/2022);CLOYS (41) MAT;33 RUE DES CLOYS;18ème Ardt;75118;2021-2022;Maternelle;"{""type"": ""Point"", ""coordinates"": [2.3382587769550263, 48.89293314755427]}";48.8929331476,2.33825877696
MATERNELLES (année scolaire 2019/2020);GUSTAVE ROUANET (1) MAT;1 RUE GUSTAVE ROUANET;18ème Ardt;75118;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.341541508220003, 48.89630661668987]}";48.8963066167,2.34154150822
MATERNELLES (année scolaire 2021/2022);JACQUES HILLAIRET (40) MAT;40 RUE JACQUES HILLAIRET;12ème Ardt;75112;2021-2022;Maternelle;"{""type"": ""Point"", ""coordinates"": [2.388848521829266, 48.843125898259025]}";48.8431258983,2.38884852183
MATERNELLES (année scolaire 2019/2020);MANIN (34) MAT;34 RUE MANIN;19ème Ardt;75119;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.389431821515378, 48.883500010128344]}";48.8835000101,2.38943182152
MATERNELLES (année scolaire 2021/2022);DUSSOUBS (42) POLY;42 RUE DUSSOUBS;2ème Ardt;75102;2021-2022;Polyvalent;"{""type"": ""Point"", ""coordinates"": [2.349694364758911, 48.8671638680231]}";48.867163868,2.34969436476
MATERNELLES (année scolaire 2019/2020);EIDERS (5) MAT;5 ALLEE DES EIDERS;19ème Ardt;75119;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.379171396894517, 48.894295904941565]}";48.8942959049,2.37917139689
MATERNELLES (année scolaire 2021/2022);LANCRY (15) POLY;15 RUE DE LANCRY;10ème Ardt;75110;2021-2022;Polyvalent;"{""type"": ""Point"", ""coordinates"": [2.360343892968746, 48.869568431441806]}";48.8695684314,2.36034389297
MATERNELLES (année scolaire 2019/2020);RODIER (30) MAT;30 RUE RODIER;9ème Ardt;75109;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.3430039904519893, 48.87870345836791]}";48.8787034584,2.34300399045
MATERNELLES (année scolaire 2020/2021);WURTZ (16) MAT;16 RUE WURTZ;13ème Ardt;75113;2020-2021;;"{""type"": ""Point"", ""coordinates"": [2.344618527667761, 48.82693192147903]}";48.8269319215,2.34461852767
MATERNELLES (année scolaire 2019/2020);GROS (18) POLY;18 RUE GROS;16ème Ardt;75116;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.276148551017673, 48.85138249982308]}";48.8513824998,2.27614855102
MATERNELLES (année scolaire 2020/2021);CHOISY (4 B) MAT;4 bis AVENUE DE CHOISY;13ème Ardt;75113;2020-2021;;"{""type"": ""Point"", ""coordinates"": [2.364862727732922, 48.82064046139027]}";48.8206404614,2.36486272773
MATERNELLES (année scolaire 2019/2020);CHAMPAGNE (17) POLY;17 CITE CHAMPAGNE;20ème Ardt;75120;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.404208980890332, 48.85333032800676]}";48.853330328,2.40420898089
MATERNELLES (année scolaire 2020/2021);JOSEPH DE MAISTRE (94) MAT;94 RUE JOSEPH DE MAISTRE;18ème Ardt;75118;2020-2021;;"{""type"": ""Point"", ""coordinates"": [2.330324707554502, 48.89328502795116]}";48.893285028,2.33032470755
MATERNELLES (année scolaire 2019/2020);ST ANDRE DES ARTS (39) MAT;39 RUE SAINT-ANDRE DES ARTS;6ème Ardt;75106;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.341305617808255, 48.85327367732019]}";48.8532736773,2.34130561781
MATERNELLES (année scolaire 2020/2021);MANIN (34) MAT;34 RUE MANIN;19ème Ardt;75119;2020-2021;;"{""type"": ""Point"", ""coordinates"": [2.389431821536465, 48.883500008329804]}";48.8835000083,2.38943182154
MATERNELLES (année scolaire 2019/2020);CARPEAUX (5-7) MAT;5 RUE CARPEAUX;18ème Ardt;75118;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.329806112041069, 48.890359614050475]}";48.8903596141,2.32980611204
MATERNELLES (année scolaire 2020/2021);FAIDHERBE (18) MAT;18 RUE FAIDHERBE;11ème Ardt;75111;2020-2021;;"{""type"": ""Point"", ""coordinates"": [2.383960073693528, 48.85159555285475]}";48.8515955529,2.38396007369
MATERNELLES (année scolaire 2019/2020);CHAT.DES RENTIERS (31) MAT;31 RUE DU CHATEAU DES RENTIERS;13ème Ardt;75113;2019-2020;;"{""type"": ""Point"", ""coordinates"": [2.370175975447339, 48.824314901126925]}";48.8243149011,2.37017597545
MATERNELLES (année scolaire 2020/2021);EMILE ZOLA (35) MAT;35 AVENUE EMILE ZOLA;15ème Ardt;75115;2020-2021;;"{""type"": ""Point"", ""coordinates"": [2.282425091676537, 48.8465583927867]}";48.8465583928,2.28242509168
